GeneFamily	SRR4096731	SRR4096732	SRR4096733	SRR4096734	SRR4096735	SRR4096736	SRR4096737	SRR4096738	SRR4096739	SRR4096740	SRR4096741	SRR4096742	SRR4096743	SRR4096744	SRR4096745	SRR4096746	SRR4096747	SRR4096748	SRR4096749	SRR4096750	SRR4096751	SRR4096752	SRR4096753	SRR4096754	SRR4096755	SRR4096756	SRR4096757	SRR4096758	SRR4096759
K07121	10.0728261156	17.1492004195	10.5481178215	0	10.4676095250	0	3.9902137011	4.9762711876	0	141.3638496360	33.1187218458	0	0	8.9767734570	14.4679249414	38.8569647873	5.5161468141	0	66.2790673604	0	12.4426899964	0	0	16.8462673248	0	0	0	18.4315937289	0
K07122	9.3903964326	0	10.5720253654	0	16.8941586388	3.7565936157	0	21.5998694872	0	233.7269537510	25.3356257525	0	0	6.5734950242	16.9035836641	71.2287831021	0	0	76.9005992760	0	21.5662660519	0	0	18.7666365875	0	0	0	24.9567389625	14.0787696113
K07123	0	22.6898625589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.9505032429	0	0	0	0	0	0	0	0	0	0	0
K07124	289.2824455733	31.8821245535	135.8118382551	615.0787291240	40.3602781409	211.0086833333	1683.3108416532	85.6463982801	324.4109719120	4139.2211204692	1533.4057386317	256.1809933719	216.0592666281	52.8150812605	3451.3224843871	1916.8087434944	1375.4151447820	1140.1151388235	1915.6933732305	820.2326817471	311.3852172839	441.9223388675	22.1982282296	67.9277437023	36.7081570400	159.5354825292	152.2755450275	160.1613376662	54.2929685162
K07126	18.3267558090	0	9.4632537653	27.6650187370	37.7422624177	12.4641691069	44.7571472503	36.2599551738	13.0077039265	456.2753923634	108.8910057760	13.0111524164	16.1233661676	17.8044636954	114.4618953686	114.9975743574	14.9340639573	51.4081601982	249.1500185218	39.0265730414	38.5388757457	14.5320559575	0	35.6330100796	0	30.3956732634	12.0616412916	39.2327735909	9.4632537653
K07127	21.2449993179	29.1882906721	0	0	10.5540897098	0	0	63.4889287269	0	95.0103871497	67.0683570693	0	0	50.4047496043	39.8376111833	60.1538188013	0	0	36.9534225447	0	7.9366193230	0	0	31.8409969026	0	0	0	34.8137103294	7.9366193230
K07130	0	0	8.4200655750	0	0	0	0	41.0243351147	0	116.1983789115	7.2213039329	0	0	0	0	25.7077484296	16.9232602952	0	47.7764505133	0	0	0	0	0	0	44.0302439747	0	0	29.8640042141
K07131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3897763578	0	0	0
K07132	0	0	0	0	0	0	25.7490100282	13.0584510193	0	35.2207725599	21.6344992904	0	0	0	0	0	0	0	0	6.6047924439	0	0	0	0	0	0	0	0	96.8457397310
K07133	4581.0488534902	5148.8657058756	3819.5736134895	3291.1087404063	744.1300706642	5401.6005841280	5459.4714300886	3625.8884407639	5600.9422837286	6697.7717999631	6043.9415156725	4201.3344844026	5397.8727491536	3223.1616964507	7208.4772536070	4182.9537398621	3949.9942098187	4847.0616277480	2880.8484761742	3956.6309488580	456.2763830037	5831.5102565859	4325.7425195076	2842.6854270929	1374.6533988374	4316.7036898137	4049.9641787826	4036.5939725579	551.5162198751
K07135	0	31.9550045129	0	0	0	0	34.8543973127	14.5224060544	0	10.1681082355	34.8374204132	10.1638952257	0	17.4365957183	29.0341395432	0	0	56.6271557501	0	0	0	0	0	37.7710858809	0	0	0	0	0
K07136	0	0	0	0	19.1195660046	0	11.0485835019	0	0	98.8626198888	27.4854346807	0	0	0	5.5190442142	38.7007386585	5.3104765934	0	46.9740049874	0	0	0	0	11.0484516582	0	0	0	19.3374471311	0
K07137	1088.0483217811	1203.1700432381	753.7619632009	533.6902408456	162.6067486765	1016.6286880788	804.8067129800	792.3455091191	1111.8471934694	511.8078661253	1197.2337222998	933.7893231592	1273.4191636948	737.9839506875	841.0546349193	408.6025907651	702.0177265278	1081.5924957678	299.8853102298	844.2729722254	45.7256330485	1222.8362692345	898.9299118277	791.3794935811	353.8855095660	841.9915843977	970.5011269265	945.1107843026	179.4128856403
K07138	861.8454382223	815.4004248192	508.7898623656	243.7264713210	91.5723639294	707.7674120288	541.4169305312	453.6453251117	809.3753781306	280.1808445993	672.6577158875	602.4278758945	771.1502167866	458.3266976382	482.5038655310	189.9719885405	493.1679599824	860.2209308791	94.7938559091	564.0312157593	21.4311065958	805.9136955598	666.6120579345	649.1457790573	211.8840187624	639.8247666664	610.9278832314	558.9817232578	91.8549961074
K07139	646.4416100139	370.1375427448	382.4523084909	242.2580284084	53.8548460528	444.5769969847	232.6326383993	340.8437593143	360.4476609152	745.7280712064	405.5526022807	289.3551575631	857.7034918337	341.6174302555	327.3814709864	329.4117634959	339.2164075832	200.0526926109	277.9643437197	729.1505110900	40.3459865396	480.1727554670	217.1177063570	312.5155986799	105.2915626894	258.0826656426	458.9662809222	314.7855076026	122.6480791048
K07140	0	0	0	0	8.3712284949	0	0	8.3720930233	0	81.4862534283	17.6612343328	0	0	0	10.2325581395	36.5607042084	0	0	46.5081713988	0	0	0	0	0	0	0	0	11.1627906977	0
K07141	5.5987281287	0	9.2433507238	0	7.4384136324	0	12.2469404778	5.5789947379	0	171.5305089064	41.7955923129	0	0	10.6157402549	10.8762279844	66.5371087707	0	0	94.5046933895	0	16.6595744352	0	0	0	0	0	0	22.1766651426	5.5690599031
K07145	4.7820448584	0	38.1545455326	6.9930069930	59.4283765015	0	0	21.4075612934	0	224.2194243025	17.2533930659	0	0	14.0996187928	0	49.1488880550	48.9267676768	0	17.4825174825	0	0	0	0	0	17.5961222893	39.6594335106	0	0	0
K07146	10.5439931728	0	46.9509145872	16.2198117362	24.1591492771	5.2040450781	0	28.8356677841	0	129.4719893123	66.5802239411	0	0	29.4900222348	29.5994684282	148.8407707179	21.4720528741	0	76.8065511182	0	14.1886329535	0	0	28.2932931135	22.4652412453	32.2044560924	0	32.6170954986	97.7116597625
K07147	0	10.4425277599	22.9461887190	0	0	94.0265998799	0	121.8723773604	0	86.4087099104	57.5367218445	0	0	34.6589651958	6.3110133166	30.0095664790	0	0	36.6173120829	0	9.4672916142	0	0	18.4707766154	0	32.5919809405	0	22.2026738367	0
