GeneFamily	SRR5451791	SRR5451792	SRR5451801	SRR5451802	SRR5451803	SRR5451804	SRR5451805	SRR5451806	SRR5451807	SRR5451808	SRR5451809	SRR5452015	SRR5452016	SRR5452017	SRR5452018	SRR5452019	SRR5452020	SRR5452021	SRR5452022
K03768	301.2257824041	76.2916847768	152.8112367075	466.0606501376	374.3007124246	268.1501508037	262.6230687297	1408.6885716959	74.1092242065	110.8029147696	120.9219115270	2709.9655061064	123.6650337179	192.3965062390	210.2068972900	200.3300500788	577.3720595684	1646.7747764159	248.7304226251
K03769	9.3684282178	0	11.8316012103	65.6666991523	8.0645161290	6.5304439627	0	332.5498786468	16.0115175526	0	0	679.5289204461	0	0	0	0	49.0943625584	379.4337371419	0
K03770	0	0	0	38.7245665081	8.9009643516	0	9.1375664633	30.2169225193	0	0	0	60.8561947541	0	0	0	0	0	25.5668069351	0
K03771	0	0	0	63.0207621743	16.5712315140	0	0	51.2692625819	0	0	15.7211179666	43.9420000845	0	0	0	0	23.2687946307	34.0838793188	0
K03772	0	0	0	35.7744344120	0	0	10.2803142741	764.6997335793	0	0	0	313.3520245885	0	0	0	0	66.5310167264	146.2471250140	0
K03773	23.8311687448	0	24.6060028212	96.0135370679	29.2526202139	19.1934883304	24.3292354165	133.0745367172	11.8405014840	0	24.1350538836	76.9593468031	0	0	0	9.9924816801	32.8824710435	43.4425523632	0
K03774	13.5073538315	0	0	59.9448421939	9.6212601603	0	19.0221187524	653.1819574362	0	0	0	753.1848840686	0	0	0	0	138.8740454036	423.1519946331	0
K03775	0	0	23.4206323491	56.0504839898	15.3763153042	0	31.0294638748	1369.8655445134	7.6734163024	8.9390156619	0	1411.8515381871	0	0	0	0	192.2075465036	911.5997734029	0
K03776	0	0	0	45.0980079831	0	0	0	361.1256371771	0	0	0	99.1203851116	0	0	0	6.6672343304	24.5757455308	43.1676988536	0
K03777	8.3775504446	8.3860185512	5.9475340165	42.2258024700	10.6959305268	0	22.1026200521	81.1109188386	0	0	0	1389.9929483718	0	0	0	5.9374549426	42.7127397631	120.6303226301	0
K03778	6.0978812879	13.5158177790	26.7959694665	73.6367238480	34.2512369367	33.7437387862	62.2811584999	51.6496791585	24.8899528303	11.2621894321	17.7265873798	455.2430554429	7.2084546953	8.1454881208	13.3201769723	25.8346777138	35.7673065981	65.1033325852	24.6111756886
K03779	225.6841440453	114.5154362511	142.4483626854	659.3219767655	626.2623243988	358.8164480531	221.1146352549	160.2181116381	64.8085293256	71.7669405723	284.6003905121	163.9767871014	56.6315514525	225.7262715251	189.7849035132	236.2479086587	201.6784470131	334.2085807902	472.2587231508
K03780	101.5797199636	50.7249078714	86.2402632494	396.5873980998	280.5548882870	192.4101361340	104.8299355264	81.9324001606	49.2192099458	55.7643945627	136.8684348897	77.5898007983	28.7435599614	91.4235055293	102.9392807291	98.2009451779	54.2887603068	100.0333064686	204.3064090763
K03781	22.4343572270	0	11.2176243254	119.7638454344	20.2767738893	0	18.5020309608	1347.8701272930	5.7087811904	0	0	4008.8285828484	0	0	0	14.7758463040	425.2980925084	1963.3694125949	11.9481953236
