"A001"	"A003"	"A006"	"A007"	"A010"	"A011"	"A013"	"A015"	"A018"	"A020"	"A021"	"A024"	"A025"	"A028"	"A029"	"A031"	"A034"	"A035"	"A037"	"A039"	"A081"	"A082"	"A083"	"A084"	"A085"	"A086"	"A091"	"A093"	"A094"	"A098"	"A099"	"A100"	"A101"	"A107"	"A108"	"A109"	"A116"	"A118"	"A119"	"A120"
"363389"	0	0	0	0	0	0	9.52380952380952e-05	0	0	0.0045	0.00566666666666667	0	0	0	9.52380952380952e-05	0.00242857142857143	0	0	0	0	2.38095238095238e-05	4.76190476190476e-05	0	0	0.00207142857142857	0	0	0	0	0	0.000142857142857143	7.14285714285714e-05	0.00221428571428571	0	0.00242857142857143	2.38095238095238e-05	0	0	0	0.000785714285714286
"313387"	0	0	0	0	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"175261"	2.38095238095238e-05	0	0	0	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"183576"	9.52380952380952e-05	0	2.38095238095238e-05	0	2.38095238095238e-05	0	0	0	0	0	2.38095238095238e-05	0	0	0	0	0.000166666666666667	0	0	0	0	4.76190476190476e-05	0	0	2.38095238095238e-05	0	0	0.000214285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0
"176297"	0	2.38095238095238e-05	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"530629"	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"290485"	0	0	0	2.38095238095238e-05	0	0	0	0	0	0	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	2.38095238095238e-05	0	0	0	0	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"183224"	4.76190476190476e-05	0.000119047619047619	7.14285714285714e-05	0	0.000452380952380952	2.38095238095238e-05	0	0	0	0	4.76190476190476e-05	2.38095238095238e-05	0	0	2.38095238095238e-05	0	0	7.14285714285714e-05	9.52380952380952e-05	0	7.14285714285714e-05	0	0	0.000214285714285714	0	0	0	0	0	4.76190476190476e-05	0	0	0	0	7.14285714285714e-05	0	0	0	0	0
"175087"	0.000119047619047619	2.38095238095238e-05	0	0	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38095238095238e-05	0	0	0	0	0
"183220"	0.000261904761904762	2.38095238095238e-05	4.76190476190476e-05	0	0.000142857142857143	0	0	2.38095238095238e-05	0.000214285714285714	0	0	4.76190476190476e-05	0	0	0	2.38095238095238e-05	0.000142857142857143	2.38095238095238e-05	2.38095238095238e-05	0	4.76190476190476e-05	0	7.14285714285714e-05	0.000261904761904762	0	0	4.76190476190476e-05	0	0	4.76190476190476e-05	0	2.38095238095238e-05	0	0	0.000119047619047619	0	0	0.000119047619047619	0	0
"182933"	0	4.76190476190476e-05	0	0	2.38095238095238e-05	4.76190476190476e-05	0.000119047619047619	7.14285714285714e-05	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	2.38095238095238e-05	4.76190476190476e-05	0	0	0	7.14285714285714e-05	0	0	9.52380952380952e-05	0	0	0	7.14285714285714e-05	2.38095238095238e-05	4.76190476190476e-05	0	0	7.14285714285714e-05	4.76190476190476e-05	0	0	0
"4465124"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"205934"	7.14285714285714e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.14285714285714e-05	0	0	0.000166666666666667	9.52380952380952e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38095238095238e-05	0	0	0	0	0
"351135"	0	0	0	0	0	2.38095238095238e-05	0	0	0.000119047619047619	0	0	0	0	0	0	0	0	0	0	0	0	4.76190476190476e-05	0	2.38095238095238e-05	4.76190476190476e-05	0	0	0	0	0	0	0	0.000166666666666667	0	0	0	0.000357142857142857	0	9.52380952380952e-05	2.38095238095238e-05
"3926480"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38095238095238e-05	0	0	0	0	0	0	0	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	0	2.38095238095238e-05	0	2.38095238095238e-05	0	0	0	0
"183089"	0	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"194488"	4.76190476190476e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000119047619047619	0	0	4.76190476190476e-05	0	0	0	0	0
